Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
BT Bus Super-Aberdeen Aus Small Co,,,,,,,,,,,,,325000,1025000,3816666.67,4555926.36,3776060.45,4626936.42,5178064.5,5054741.92,5704772.5
BT Bus Super-Aberdeen SI Act Hgd Intl Eq,,,,,,,,,,,100000,808333.33,2708333.33,4783333.33,4833333.33,3885672.73,3353004.73,3347411,3177733.83,3157252.25,3537494.58
BT Bus Super-BT Active Bal,,,,,,236000,1238333.33,3229166.67,5184166.67,6464166.67,7023750,12322222.22,59381818.18,131291666.7,220575000,248396758.2,257763068.8,308636296.3,334775553.8,356567523.3,413278462.7
BT Bus Super-BT Aus Sustain Shr,,,,,,,,,,,0,422222.22,1633333.33,4058333.33,7783333.33,7672926.36,6996748.45,8455869.92,8208043.75,7853172,9363182.17
BT Bus Super-BT Core Aus Shr,,,,,,,,,181250,859166.67,1568750,2566666.67,3136363.64,3708333.33,3900000,3010000,2696563,2372804,2125392.58,1981912.08,2150899.2
BT Bus Super-BT Core Gbl Shr,,,,,,,,,827500,2391666.67,3135000,4177777.78,5109090.91,6491666.67,6791666.67,5242591.82,4341764.27,4199536.5,4046487.08,3785071.58,4941360.67
BT Bus Super-BT Foundation Units,,,,,,,,,,,,74400000,71150000,69050000,70575000,64100394,67959487.58,65513914.83,66008497.42,65901713.83,53455108.92
BT Bus Super-BT Global Property Secs,,,,,,,,,,,,,350000,1700000,4850000,4124590,2470584.18,3579731.08,4690295.92,4861253.33,5233682.75
BT Bus Super-BT MySuper 1940s Lifestage,,,,,,,,,,,,,,,,,,,,,
BT Bus Super-BT MySuper 1950s Lifestage,,,,,,,,,,,,,,,,,,,,,
BT Bus Super-BT MySuper 1960s Lifestage,,,,,,,,,,,,,,,,,,,,,
BT Bus Super-BT MySuper 1970s Lifestage,,,,,,,,,,,,,,,,,,,,,
BT Bus Super-BT MySuper 1980s Lifestage,,,,,,,,,,,,,,,,,,,,,
BT Bus Super-BT MySuper 1990s Lifestage,,,,,,,,,,,,,,,,,,,,,
BT Bus Super-BT MySuper 2000s Lifestage,,,,,,,,,,,,,,,,,,,,,
BT Bus Super-BT Ptnr Aus Share Gr 1,,,,,,,,,,,,240000,791666.67,2841666.67,5950000,5764612.73,6176747.82,7995217.33,8321417.08,8045332.25,9773646.17
BT Bus Super-BT Ptnr Aus Shr Core 1,,,,,,,,,,,,100000,408333.33,1258333.33,2900000,3185942.73,3124766.64,4019164.5,3764708.83,3581660.83,3564580
BT Bus Super-BT Ptnr Intl Shr Core 1,,,,,,,,,,,,,225000,625000,1391666.67,1848854.55,1727254.82,1631468.42,1450873.08,1277634.92,1408012
BT Bus Super-BT Ptnr Intl Shr Gr 1,,,,,,,,,,,,100000,400000,1525000,1891666.67,1611561.82,1324243.27,1387149,1407632,1417842.5,1804952.67
BT Bus Super-BT Ptnr Intl Shr Val 1,,,,,,,,,,,,100000,200000,1191666.67,2983333.33,2655178.18,1657378.27,1579562.83,1564814.25,1177968,1229844.08
BT Bus Super-BT WS Ptnr Aus Shr Val 1,,,,,,,,,,,,225000,816666.67,2233333.33,5241666.67,4988930,4169453.27,4180455,3692586.75,3181077.17,3380231.92
BT Bus Super-CFS Australian,,,,,,,,,4681250,16443333.33,25020000,33333333.33,43690909.09,53391666.67,64025000,51693387.27,44812327,51168896,47519739.17,43677382.5,47349039.17
BT Bus Super-CFS WS Diversified,,,,,,,,2067142.86,7441666.67,13175833.33,15636250,19422222.22,23100000,27358333.33,29300000,25561138.18,23605159,25349340.92,24242621.75,24322389.17,26824870.25
BT Bus Super-Ibbotson High Opportunity,,,,,,,,,,,,,133333.33,858333.33,1208333.33,965549.09,842069.36,865737.25,876018.17,868418,
BT Bus Super-ING Blue Chip Aus Shr,,,,,,,,,,,100000,1083333.33,4072500,7591666.67,12583333.33,13721854.55,12344620.36,13506081.33,12198134.25,10390105.33,11743200.08
BT Bus Super-Investor Mutual Aus Shares,,,,,,,,,,,,266666.67,925000,1958333.33,2816666.67,2762685.45,2585192.73,3045669.42,2915844.08,2776872.92,3462552
BT Bus Super-Macquarie Diversified Fixed,,,,,,,,,,,,,275000,1400000,3241666.67,3963484.55,4005497.27,3838332.17,4097344.08,4680038.67,3995590.42
BT Bus Super-MLC Global Share,,,,,,,,,677500,2967500,5238750,8311111.11,9972727.27,13116666.67,13050000,9820522.73,7439287.45,6951562.33,6449551.33,6848434.92,8161973.08
BT Bus Super-MLC WS Horizon 5 Growth,,,,,,,,1642857.14,3865000,5417500,7346250,10944444.44,14600000,18683333.33,22408333.33,18838645.45,16612131.36,18031312,17330865.17,17257161.5,19730359.08
BT Bus Super-Multi-manager High Gr,,,,,,,,,,,200000,3958333.33,10675000,15100000,19291666.67,18276780,14572334.36,16427255.83,17383316.33,17171383.25,18669709.67
BT Bus Super-Schroder Balanced,,,,,,,,,,,,244444.44,866666.67,1316666.67,2225000,2826430.91,4359587.09,5513795.08,5960089.58,6545244.75,7696606.17
BT Bus Super-Westpac Aus Fix Int,,,,,,554000,584166.67,517500,932500,2140000,5190000,7300000,7077777.78,7100000,7408333.33,10065484.55,14527505.45,14788145.08,19418845.25,30698845.17,29371944.75
BT Bus Super-Westpac Aus Prp Secs,,,,,,,,,588750,4596666.67,13350000,30700000,34133333.33,43958333.33,56166666.67,36243077.27,20900762.27,24139719.58,23647473.58,25123336.5,28429063.67
BT Bus Super-Westpac Australian Shares,,,,,,2041000,3045000,8817500,19374166.67,32098333.33,42528750,56533333.33,76254545.45,95833333.33,115683333.3,100061680.9,91063275.64,99911751.67,92093227.08,83061785.83,90826360.33
BT Bus Super-Westpac Bal Gr,,,,,,177906666.7,210346666.7,296231666.7,401419166.7,533225000,721908750,1013111111,1418518182,1779008333,2082741667,1947147224,1897841891,2177563927,2305093347,2448818743,2798490265
BT Bus Super-Westpac Capital Secure,,,,,,,,,,,58500000,59683333.33,62008333.33,63045454.55,60955555.56,60675442.73,62100175.36,62792079.5,62735111.75,62381043.58,60670812.8
BT Bus Super-Westpac Dynamic Growth,,,,,14420000,19139166.67,28948333.33,54169166.67,93910000,114262500,129066250,160266666.7,201336363.6,243975000,274616666.7,236435028.2,208614392.6,227173864.1,224630225.6,221970392.3,246666845
BT Bus Super-Westpac Intl Fixed Int,,,,,,50000,114166.67,280833.33,495000,875000,2081666.67,3900000,4244444.44,4275000,4000000,4611960.91,4980866.36,5805780.33,6259930.83,7579918.92,6923741.33
BT Bus Super-Westpac Intl Shr,,,,,,2612000,3245833.33,8018333.33,19681666.67,21545000,22493750,26755555.56,28618181.82,31725000,32275000,25145060.91,19901315.45,19475228.58,18112378.5,16813979.75,20749698.58
BT Bus Super-Westpac Mod Gr,,,,,,10542000,13599166.67,20048333.33,22345833.33,25343333.33,32703750,40511111.11,48263636.36,53591666.67,58058333.33,53761496.36,52623491.82,55235976.08,56575289.75,58426930.92,60420473.58
BT Bus Super-Westpac Money Market,,,,,,105042000,116032500,111295833.3,103936666.7,104474166.7,113008750,120400000,124909090.9,127108333.3,135166666.7,155830809.1,176790117.6,168140932.7,174733640,185026699.4,177098610.6
BT Class Lifetime PS-BT Active Bal,901250,6186666.67,62470833.33,118942500,146780833.3,229725833.3,362531666.7,468886666.7,502026666.7,437795833.3,292434545.5,234895000,172164100.8,65403333.33,62206363.64,45206586.5,36268103.33,36510782.58,31569913.5,27989071.17,27105334.67
BT Class Lifetime PS-BT Active Bal NEF,,,,,,,,,,,,,178862565,167039202.5,150528940,103562745,82696141.33,78931817.75,67571125.75,54360945.33,50971453.5
BT Class Lifetime PS-BT Cash,,,1820000,6752500,14967500,23043333.33,24903333.33,20482500,18741666.67,19435833.33,27458181.82,19493333.33,12782078.33,7841666.67,7124166.67,7333083.25,7141203.33,5519165.08,4905692.83,5070615.92,4913210.58
BT Class Lifetime PS-BT Cash NE,,,,,,,,,,,,,6297570,4545862.5,3997575,6014247.5,5993676.33,4838753.17,4103404.92,3896587.75,3126146.33
BT Class Lifetime PS-BT Conservative,637500,2078333.33,11800833.33,24219166.67,31610000,43744166.67,55000833.33,48507500,43853333.33,44825000,36897272.73,28338333.33,19273950.83,6638333.33,6042727.27,4580001.83,3889976.17,3875970.25,3789093.67,3276838.25,2866969.83
BT Class Lifetime PS-BT Conservative NE,,,,,,,,,,,,,19859522.5,16807940,13709982.5,9620805,7529467,6872655.25,6361479.92,5389167.25,5018145.25
BT Class Lifetime PS-BT Core Aus NE,,,,,,,,,,,,,4652845,5025782.5,5900832.5,4344967.5,4148960.67,3917915,3165135.5,2359961.67,2580641.58
BT Class Lifetime PS-BT Core Aus Shr,,,,,,,,,1835000,7356666.67,7247272.73,7975000,7543720,5940000,7581666.67,5980174,5400181.75,5815070.92,5306828,1401190.58,1211058.42
BT Class Lifetime PS-BT Core Gbl Shr,,,,,,,,,4170000,5923333.33,4740909.09,4042000,2417559,1207500,1123333.33,662748.5,531039.67,479361.17,355465.58,366538.25,426665
BT Class Lifetime PS-BT Core Gbl Shr NE,,,,,,,,,,,,,2436537.5,2371247.5,1683127.5,820242.4,746962.5,754334.83,597141.67,469216.08,423830.42
BT Class Lifetime PS-BT Div Shr,595000,2950833.33,16291666.67,33250000,48605000,67929166.67,96050000,146274166.7,167925833.3,133220833.3,85696363.64,77346666.67,62998963.33,34600833.33,33149090.91,23180687.17,19668113.83,20108638.25,18029036.75,15817463.25,17228987.42
BT Class Lifetime PS-BT Div Shr NE,,,,,,,,,,,,,55334605,59521687.5,56967137.5,39064270,34026300.89,32884815.25,29194583.42,25438765.08,26902167.33
BT Class Lifetime PS-BT Ethical Shr,,,,,,,,,,638181.82,858181.82,1118333.33,1225100,711666.67,968333.33,777254.25,667172.83,672875.42,631283.75,551853.67,612831.42
BT Class Lifetime PS-BT Ethical Shr NE,,,,,,,,,,,,1104000,1515833.33,2000391.25,1986940,1358812.5,1098232.08,1036156.83,773935.92,637100.75,871268.5
BT Class Lifetime PS-BT Imp Shr,,,,,,,,,,,,,162345,208407.5,290745,260121.5,175804.75,215526.5,178768.17,125971.58,129100.92
BT Class Lifetime PS-BT Imp Shr NE,,,,,,,,,,,,117000,245833.33,357961.25,161055,216762.5,233861.58,277433.17,278120.75,173616,89815.5
BT Institutional Retirement PST,3861281667,3858856667,3773416667,3749118333,3892078333,3311649091,1543307500,977919166.7,559140000,192264000,52084000,50680403.75,41633806.25,30653027.5,23057741.25,15250792.58,11681177.5,13431425.42,13126337.08,12260674.92,13125043.75
BT Life WS Fds Mgt Policy-Cash Portfolio,,3166666.67,3775000,5983333.33,7429166.67,5530833.33,3640000,2323636.36,1802500,826666.67,1845833.33,2407000,2940000,3237500,3584166.67,2794617.7,,3977,,,
BT Life WS Funds Mgt Policy-Managed Port,,31700000,34225000,34119166.67,33456666.67,38951666.67,39360833.33,41966363.64,36785833.33,11633333.33,1520833.33,1658000,1543333.33,919090.91,470000,264357.36,241983.67,258619.44,,,
BT Lifetime PS-Aberdeen Act Hg Int Eq,,,,,,,,,4363333.33,11229166.67,15647272.73,17546363.64,22251354,23103333.33,23419166.67,18276240.92,15637464.5,15217287.58,13892643.17,13569165.83,15176815.92
BT Lifetime PS-Aberdeen Act Hg Int Eq NE,,,,,,,,,,,4465000,4448333.33,4035833.33,3996666.67,3680833.33,2610586.83,1983844,1896610.25,1649154.5,1471114.58,1542008.17
BT Lifetime PS-BlackRock Balanced,,,,,,,,,2956666.67,6632500,8728181.82,9040000,11458123,11234166.67,12100000,10504108.67,9358192.17,9663215,8701553.75,8275807.25,9007155.75
BT Lifetime PS-BlackRock Balanced NEF,,,,,,,,,1137000,2704166.67,3290909.09,3168181.82,3151000,2967500,2908181.82,2449355,2077340,2134472.42,1961926.25,1936733.58,1914524.58
BT Lifetime PS-BT Aus Share,,,7940000,32006666.67,87838333.33,140299166.7,200023333.3,247496666.7,243430833.3,201796666.7,146407500,165856000,215672684.2,247987500,295110000,247948324.7,230430659.2,262624589.4,247796269.1,222542722.9,245751242.4
BT Lifetime PS-BT Aus Share NEF,,,,,,,,8441000,22855833.33,20986666.67,14991818.18,17734545.45,22289000,26831666.67,30770833.33,25418708.83,22249882.58,24407770,22642633.17,19793868.75,21177121.75
BT Lifetime PS-BT Australasian Bond,,,324000,3377500,7458333.33,12116666.67,8467500,5920000,6766666.67,6721666.67,8988333.33,7792000,8133470,6969166.67,6214166.67,6692066.33,8120928.17,8335246,10459925.5,16927993.67,14827412.33
BT Lifetime PS-BT Australasian Bond NE,,,,,,,,75000,304166.67,462500,969090.91,904545.45,974000,943333.33,909090.91,996649.17,1104317.42,1128226.67,1232999.75,1997406.58,1941291.25
BT Lifetime PS-BT Balanced Returns,928733333.3,1106008333,1180883333,1271163333,1394447500,1488067500,1479737500,1540917500,1377274167,1057105833,796798333.3,812659000,880603627.5,935516666.7,991230833.3,847693703.3,774001820.3,842674849.1,813638099.7,766510224.1,794106598.3
BT Lifetime PS-BT Balanced Returns NEF,,,,,,,,24951000,63041666.67,53202500,34054545.45,35044545.45,34439000,37370833.33,37416666.67,29324839.67,24669518.08,24735676.83,21909301.75,17531766.17,17065641.33
BT Lifetime PS-BT Cash,291899166.7,247295833.3,243766666.7,252874166.7,273412500,276048333.3,248685000,214454166.7,186396666.7,168211666.7,163406666.7,153762000,150161578.3,133518333.3,130486666.7,155017032.1,173666755,169895596.9,169008464.8,174248347.2,159002460.5
BT Lifetime PS-BT Cash NEF,,,,,,,,6114285.71,8948333.33,10445833.33,12189166.67,9768000,7312500,6114166.67,6088333.33,7855787.17,8875195.83,7950828.25,8099524.42,7841056.17,7159225.5
BT Lifetime PS-BT Cons Outlook,479152500,526853333.3,466250000,479732500,508447500,526509166.7,496038333.3,400565833.3,321168333.3,252776666.7,193175833.3,181758000,173782456.7,170051666.7,167996666.7,145602034.3,131016713.3,134279420,131352015.5,126689795.3,123153407
BT Lifetime PS-BT Cons Outlook NEF,,,,,,,,2754444.44,6643333.33,7156666.67,5445454.55,5328181.82,5139000,5204166.67,4965833.33,4327954.83,3593232.92,3331085.42,3374873.17,3595749.42,3390404.67
BT Lifetime PS-BT Future Goals,,,,,,15270000,56552500,190699166.7,258488333.3,210154166.7,155945000,171671000,217947139.2,228065833.3,259590833.3,215521086.8,194051626.7,212125913,204191284.3,189589325.8,204187900.9
BT Lifetime PS-BT Future Goals NEF,,,,,,,,25506000,67799166.67,57105000,37130000,37929090.91,38977000,41994166.67,43295000,33793658.75,27851427.83,28855391.67,27038465.17,24716276.25,26435429.58
BT Lifetime PS-BT Global Bond,,,182000,455833.33,570833.33,2547500,5438333.33,4720833.33,6510833.33,6387500,4429166.67,3682727.27,3295000,2849166.67,2536666.67,3006321.92,3869349,3478335.08,2834905.17,2802041.92,2675433.58
BT Lifetime PS-BT Global Bond NEF,,,,,,,,84285.71,605000,638333.33,564545.45,480000,355000,307272.73,293333.33,335115.58,379120.17,335937.67,290165.17,313547.25,317490.5
BT Lifetime PS-BT Intl Share,,,7590000,32744166.67,70545000,118580833.3,170705833.3,302485000,328451666.7,219340833.3,134358333.3,134490000,144259404,148026666.7,141794166.7,100081638.5,85003594.75,84226400.17,77058097.58,71855497.92,87198123.25
BT Lifetime PS-BT Intl Share NEF,,,,,,,,18618000,49484166.67,37018333.33,22905454.55,23493636.36,22221000,23377500,21647500,14319481.5,11754431.42,11429097.25,10418260.42,9773885.08,11848635.92
BT Lifetime PS-BT Multi Mgr High Gr,,,,,,,,,,,1102710000,4400000,6917000,9331666.67,12638333.33,13639820.08,14600126.25,19914880.33,20163011.83,19078724,20949462
BT Lifetime PS-BT Multi Mgr High Gr NEF,,,,,,,,,,,115190000,386000,659000,1019000,1263333.33,1064517.42,924354.92,1059800.42,1053165.08,804459.33,807601.42
BT Lifetime PS-BT Multi-Manager Bal,,,,,,,,,,7281000,25248181.82,45231818.18,98334584,147499166.7,214949166.7,220327408.8,234126959.3,302477424,297496999.4,279552607.7,290391794.5
BT Lifetime PS-BT Multi-Manager Bal NEF,,,,,,,,,,2642222.22,6031818.18,6829090.91,7065000,6660000,6077500,4610526,3523838.58,3731954.67,3470333.92,2899499.08,2865973.42
BT Lifetime PS-BT Multi-Manager Cons,,,,,,,,,,1729000,4651818.18,5200000,7517373.33,8676509.17,10880833.33,10709873,11373589.5,13154579.67,13313892.5,12540820.67,12033679.25
BT Lifetime PS-BT Multi-Manager Cons NEF,,,,,,,,,,451000,1356363.64,1390909.09,1335000,1087272.73,1082500,973012.75,598017.58,533331.33,465585.92,484380,429206.25
BT Lifetime PS-BT Multi-Manager Gr,,,,,,,,,,3179000,13170000,21790000,44989612,62543333.33,88388333.33,90171399.42,94499530.58,122395079.8,120734631.7,113056876.5,119896790.7
BT Lifetime PS-BT Multi-Manager Gr NEF,,,,,,,,,,826000,3254545.45,4192727.27,5486000,5720000,6255000,4951723,4151327.92,4395458.75,4117327.08,3552611.08,3761846
BT Lifetime PS-BT Property Secs,11555833.33,14681666.67,16875000,22422500,39007500,32911666.67,23502500,19666666.67,23545000,38570833.33,51954166.67,54030000,65064550,68319166.67,86930000,52211064.92,31534337.5,35749720.58,32714775.08,34059010.75,38223833.25
BT Lifetime PS-BT Property Secs NEF,,,,,,,,281250,1567500,5156666.67,8164166.67,8278000,8758333.33,9438333.33,10715000,6006195.08,3685242.58,4160670.5,3757259.83,3862786.25,4279417.42
BT Lifetime PS-BT Ptnr Aus Share Gr 1,,,,,,,,,,,499170000,1000000,1993000,3131666.67,6310833.33,6134655.92,7163208.5,10643296.75,11411804.75,10359600.75,12661836.75
BT Lifetime PS-BT Ptnr Aus Share Gr 1 NE,,,,,,,,,,,67380000,120280,253000,538333.33,1027500,897261.82,820904.33,1044043.08,1076856.92,1144140.25,1462653
BT Lifetime PS-BT Ptnr Aus Shr Core 1,,,,,,,,,,,2440000,89850,164000,280000,410833.33,386168.7,369982.75,497837.83,438275.08,482691.75,617751.58
BT Lifetime PS-BT Ptnr Aus Shr Core 1 NE,,,,,,,,,,,516360000,600000,1096000,1486666.67,2500833.33,2339250.08,2259074.17,2913439.67,2761914.83,2531180.75,3325693.17
BT Lifetime PS-BT Ptnr Aus Shr Val 1,,,,,,,,,,,276200000,1300000,2030000,2715833.33,5520000,5290357.75,4519270.25,5510613.17,5016948.75,4103179.5,4376763.92
BT Lifetime PS-BT Ptnr Aus Shr Val 1 NE,,,,,,,,,,,29820000,154180,335000,448333.33,1146666.67,997870.4,816739.75,852402.67,688910.42,556005.92,503114.58
BT Lifetime PS-BT Ptnr Intl Shr Gr 1,,,,,,,,,,,339230000,271385000,854000,1387500,1626666.67,1361359.67,1225651.92,1335403.42,1339075.25,1243879.08,1671704.5
BT Lifetime PS-BT Ptnr Intl Shr Gr 1 NE,,,,,,,,,,,57350000,46293800,129000,230909.09,280000,207267.67,197844.75,189194.08,183611.33,197957.33,276503.67
BT Lifetime PS-BT Ptnr Intl Shr Val 1,,,,,,,,,,,283120000,500000,862000,1703333.33,3010833.33,2314962.92,1621083,1926913.17,1990886,1490773.25,1638834.33
BT Lifetime PS-BT Ptnr Intl Shr Val 1 NE,,,,,,,,,,,10390000,82400,95000,180000,439696.67,281833.82,147109.83,113099,116407.75,83805.33,89604
BT Lifetime PS-BT Technology,,,,,,,,23139000,28397500,16045000,12364166.67,12265454.55,12676043,10756666.67,12405000,11658433.17,10406323.5,10571990.17,10318267.67,10487869,12309806.25
BT Lifetime PS-BT Technology NEF,,,,,,,,7431000,11112500,6134166.67,4352727.27,4192727.27,3605000,3430833.33,3776368.33,3302360.42,3065414.08,3260774.5,3062717.75,2989932.67,3381695.83
BT Lifetime PS-CFS Australian Shares,,,,,,,,,6470000,15410833.33,20474545.45,24485454.55,41846847,44440000,53610000,42787381.5,39816968.75,46795047.75,41541407.08,36608836,41365225.08
BT Lifetime PS-CFS Australian Shares NEF,,,,,,,,,2136000,5561666.67,7591818.18,8254545.45,9972000,10581666.67,11672500,8439615.58,7336072.67,7728181.08,6773611.75,5842490.08,6598452.75
BT Lifetime PS-Macquarie Conservative,,,,,,,,,553333.33,1424166.67,2070909.09,1827272.73,2632000,2199166.67,2469166.67,2888146.83,2673451.08,2759636.17,2842220.92,3151301.75,3803928.75
BT Lifetime PS-Macquarie Conservative NE,,,,,,,,,332500,792500,830000,766250,735833.33,710833.33,739166.67,597638.67,561537.17,550460.33,552314.25,480987.67,430851.33
BT Lifetime PS-MLC Growth,,,,,,,,,2393333.33,6890833.33,11517272.73,14039090.91,20322013,21722500,25697500,21981572.75,19810013,23663198.25,22195920.25,19944781.08,21533910.17
BT Lifetime PS-MLC Growth NEF,,,,,,,,,752000,2589166.67,3688181.82,4108181.82,4242000,4550000,4810833.33,3764384.08,3020210.25,3280469.83,3097070,2654125.25,2599241.5
BT Lifetime SE - BT Multi Mgr Intl Shr,,,,,,,,,,,,,,,,99490,415922.7,865374.08,1285403.92,3388463,4309696.17
BT Lifetime SE- BT Balance Returns,15726666.67,27560833.33,36808333.33,47475000,70547500,96149166.67,255742500,392077500,556144166.7,519961666.7,414894166.7,437949000,485287625,573642091.7,611774950.8,541699228.9,518309104.9,608725865.3,703972359.8,764113335.9,895997521.4
BT Lifetime SE- BT Ethical Shr,,,,,,,,,,,,,222500,1480833.33,6960833.33,8678678.17,8083069.17,9227495.5,9294521.92,7998286.17,8527249.25
BT Lifetime SE- Westpac Balanced,,,,,,,,,,,,5350000,6368333.33,7187500,7542500,6926185,7023978,9827541.58,13773960.92,17535907.33,23034648.25
BT Lifetime SE-Aberdeen Act Hg Int Eq NE,,,,,,50000,3125000,13837500,34218888.89,38983333.33,36691818.18,40090000,37614000,41164166.67,33625000,23682454.17,19023114.25,19242411.08,19372548.17,19480765.75,23825704.83
BT Lifetime SE-Aberdeen Aus Small Co,,,,,,,,,,,,,418000,1268333.33,4327173.33,3681987.92,3270646.5,4807639.83,6741513.67,6659442,7496907.42
BT Lifetime SE-Aberdeen Emerg Opportun,,,,,,,,,,,,,,,,,,,,916614.22,2177782.92
BT Lifetime SE-AMP Cap Invs List Prp,,,,,,0,615000,707500,3467777.78,7255833.33,10333636.36,10646363.64,12387000,15365000,20901666.67,10509868.25,5838708.17,7157151.75,7041577.83,7788833.25,9572910.83
BT Lifetime SE-APN Unlisted Property,,,,,,,,,,,,,,,,277602.5,242879.58,240595.25,213873.42,140807.58,43009.42
BT Lifetime SE-BlackRock Monthly Income,,,,,,,,,,,,,,,,41010.25,359978.5,1160345.58,1510753.92,1616000,
BT Lifetime SE-BlackRock Sci Div Gr,,,,,,0,85000,435000,2433333.33,3120833.33,3455454.55,4954545.45,6504000,8499090.91,8582500,6126160.33,5273664.25,5365600.17,5169361.75,4709045.17,5712650.83
BT Lifetime SE-BT Aus Share,,,85000,484166.67,1755833.33,2808333.33,15100000,38807500,48959166.67,40105000,32348333.33,39650000,57379166.67,81302500,107811666.7,97302510.08,96464003.42,114789087,112293378.8,98241959.75,110449783.2
BT Lifetime SE-BT Australasian Bond,,,30000,65000,101666.67,190833.33,1144166.67,2608333.33,3586666.67,4248333.33,6465000,5827000,5467500,4990000,4086666.67,4878867.33,6514452.58,6328876.67,9158655.58,22599769.33,20198610.58
BT Lifetime SE-BT Cash,1598333.33,2269166.67,3591666.67,3800000,6456666.67,7603333.33,18899166.67,37654166.67,83460000,49926363.64,55187500,50582000,43876382.5,41536666.67,54000997.5,100676636.4,119397800.8,101895684.6,118965508.8,153721512.7,134809173.5
BT Lifetime SE-BT Cons Outlook,13528333.33,20578333.33,23750000,26850833.33,31374166.67,34220000,55106666.67,52855000,58172500,56130000,51479166.67,55414000,63981786.67,74211975,74270833.33,63363159.25,58764109.58,59068740.67,64370083.75,69905109.67,76393771.83
BT Lifetime SE-BT Future Goals,,,,,,870000,13845000,73410833.33,157492500,154156666.7,122071666.7,121488000,128855833.3,154441308.3,168736666.7,148054241.1,150414108.9,192206986.5,223589980.6,250732929.3,313307432.8
BT Lifetime SE-BT Global Bond,,,10000,75833.33,108333.33,254166.67,1098333.33,1385833.33,2769166.67,2911666.67,2362500,2047272.73,1753000,1763333.33,1651666.67,1972444.17,2787608.75,1868515.75,1786475.83,2032604.58,1817941.83
BT Lifetime SE-BT Global Property Secs,,,,,,,,,,,,,292000,1979578.33,5507119.17,4101662.67,2849751.58,4862400.75,6868274.5,6548017.25,7754930
BT Lifetime SE-BT Intl Share,,,170000,665833.33,1585000,2528333.33,11405833.33,47080833.33,71217500,48895833.33,33993333.33,35385454.55,36558000,41835000,41389166.67,30743356.92,26219717.67,26757895.33,30031825,29821700.92,36182297.75
BT Lifetime SE-BT Intl Shares Core 1,,,,,,,,,,,,,50000,486429.17,1400466.67,1753259.17,3439961.5,4135326.75,4266528.25,4482201.5,7208043.42
BT Lifetime SE-BT Investor Prtcd,,,,,,,,,,,,11247220,10016445,10016292.5,8872442.5,10524087.5,10008246.78,11667704.5,13574445.08,15243042.17,14827083.67
BT Lifetime SE-BT Multi-Manager Aus Shr,,,,,,,,,,,,,,,,245400,1923733.8,3509088.58,4586557.17,4847499.42,6037146.25
BT Lifetime SE-BT Multi-Manager Bal,,,,,,,,,473333.33,36154166.67,151750909.1,259308181.8,461322851,559637125,662333333.3,607506561,590983587.4,729767840.1,921768573.9,1157578845,1508485340
BT Lifetime SE-BT Multi-Manager Cons,,,,,,,,,180000,2840000,11062727.27,18065454.55,23171000,26289875,25591666.67,23859135.83,23838370.33,25813553.83,29504665.92,33496032,47586306.25
BT Lifetime SE-BT Multi-Manager Fix Inte,,,,,,,,,,,,,,,,349625,1152735.5,2669586.75,5016341.75,11053045.08,12530982.58
BT Lifetime SE-BT Multi-Manager Gr,,,,,,,,,333333.33,18847500,59543636.36,91086363.64,114193591,169202523.6,144231261.7,142292263.3,234953683.2,286379107.2,335013674.1,375001582.3,451446161.5
BT Lifetime SE-BT Multi-Manager High Gr,,,,,,,,,2072727.27,16620833.33,29033636.36,45618181.82,92656617,96832961.67,68932727.27,55970401.4,49841396.67,60876656.83,67427333.92,68302922.67,82562131.5
BT Lifetime SE-BT Property Secs,,,46666.67,130833.33,599166.67,784166.67,1815000,2357500,4695833.33,14496666.67,25055833.33,28405000,33570833.33,38224333.33,48473333.33,27561789.17,17276825.67,20868009.17,21176001.25,25335196.75,35151471.25
BT Lifetime SE-BT Ptnr Aus Shr Core 1,,,,,,,,,,,,1695000,2758333.33,4543333.33,6393333.33,7218934.73,5257203.42,5836979.25,5362036.67,4474576.92,6165500.25
BT Lifetime SE-BT Ptnr Aus Shr Val 1,,,,,,,,,,,,3195000,3913333.33,5675833.33,8923333.33,8173320.64,6610359.17,6766406.92,6183834.33,6005655.08,7620715.67
BT Lifetime SE-BT Ptnr Aust Shr Gr 1,,,,,,,,,,,,1610000,2521666.67,4521666.67,7485833.33,7142042.73,8281594,11774190.5,13881654.67,12860330.42,17775325.75
BT Lifetime SE-BT Ptnr Intl Shr Gr 1,,,,,,,,,,,,1350000,1825000,3004166.67,2866000,1876040.42,1832433.5,2348308.42,2421459.33,2721300.67,3578183.33
BT Lifetime SE-BT Ptnr Intl Shr Val 1,,,,,,,,,,,,1485000,1616666.67,3982500,8427500,8193160,5670065,6252395.92,6528173.08,6199637.25,6260586.83
BT Lifetime SE-CFS Australian Shares,,,,,,30000,1882500,9220000,32352222.22,44847500,44773636.36,48925454.55,61100000,68935483.33,69589166.67,50408571,44564099.5,53273969.33,48517955.83,42545199.17,49841429.42
BT Lifetime SE-CFS Property Securities,,,,,,,,,,,,,,,,67450.5,417272.7,686117,640361.75,491000,
BT Lifetime SE-CFS W Geared Share,,,,,,,,,,,,,,,,,,,,612102.22,2636516.33
BT Lifetime SE-CFS W Global Resources,,,,,,,,,,,,,,,,,,,,315494.22,369657.25
